Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),,Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),,Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Avg,Today vs Avg,vs Last Week
Grant Garretson,8/20/2024,0.86,50.6,4 R,9.4 L,42.4 R,,Grant Garretson,8/29/2024,0.9,50,2.6 R,3 L,31 R,,Grant Garretson,9/5/2024,0.82,49,2 R,8.5 R,13.3 R,Grant Garretson,9/12/2024,0.85,Grant Garretson,9/19/2024,0.9,Grant Garretson,9/26/2024,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,#DIV/0!,#DIV/0!
Grant Harper,8/20/2024,0.83,42.7,4.7 R,21.5 R,39.4 R,,Grant Harper,8/29/2024,0.84,39.7,4.9 R,20.3 R,26.5 R,,Grant Harper,9/5/2024,0.81,41.4,5.1 R,29.2 R,17.8 R,Grant Harper,9/12/2024,0.84,Grant Harper,9/19/2024,0.83,Grant Harper,9/26/2024,0.78,Grant Harper,10/3/2024,0.74,Grant Harper,10/10/2024,0.88,Grant Harper,10/17/2024,0.81,Grant Harper,10/31/2024,0.85,Grant Harper,11/7/2024,0.8,Grant Harper,11/14/2024,0.82,Grant Harper,11/21/2024,0.81,Grant Harper,12/4/2024,0.77,Grant Harper,12/11/2024,0.8,0.81,-1.8%,3.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,Ian Simpson,9/19/2024,0.61,Ian Simpson,9/26/2024,0.56,Ian Simpson,10/3/2024,0.53,Ian Simpson,10/10/2024,0.6,Ian Simpson,10/17/2024,0.69,Ian Simpson,10/31/2024,0.56,Ian Simpson,11/7/2024,0.8,Ian Simpson,11/14/2024,0.73,Ian Simpson,11/21/2024,0.79,Ian Simpson,12/4/2024,0.5,,,,0.64,#DIV/0!,#DIV/0!
Jace Rodriguez,8/20/2024,0.6,31.9,8.1 R,27.2 R,6.9 R,,Jace Rodriguez,8/29/2024,0.6,33.7,10.5 R,19.7 R,10 L,,Jace Rodriguez,9/5/2024,0.59,35.6,7.3 R,28.8 R,4.3 L,Jace Rodriguez,9/12/2024,0.66,Jace Rodriguez,9/19/2024,0.68,Jace Rodriguez,9/26/2024,0.63,Jace Rodriguez,10/3/2024,0.57,Jace Rodriguez,10/10/2024,0.65,Jace Rodriguez,10/17/2024,0.64,Jace Rodriguez,10/31/2024,0.62,Jace Rodriguez,11/7/2024,0.61,Jace Rodriguez,11/14/2024,0.51,Jace Rodriguez,11/21/2024,0.65,Jace Rodriguez,12/4/2024,0.77,Jace Rodriguez,12/11/2024,0.64,0.63,1.9%,-20.3%
,,,49.7,16.3 R,16.3 R,34.5 R,,Jackson Cloyd,8/29/2024,0.85,48.5,13.2 L,23.4 L,13.2 L,,Jackson Cloyd,9/5/2024,0.88,43.8,5.3 L,8.3 L,44.9 L,Jackson Cloyd,9/12/2024,0.92,,,,,,,,,,Jackson Cloyd,10/10/2024,0.91,Jackson Cloyd,10/17/2024,1,Jackson Cloyd,10/31/2024,0.91,Jackson Cloyd,11/7/2024,0.95,,,,Jackson Cloyd,11/21/2024,1.01,Jackson Cloyd,12/4/2024,1.04,,,,0.94,#DIV/0!,#DIV/0!
Jacob Horne,8/20/2024,1.37,50.6,2 L,6 L,10.5 R,,Jacob Horne,8/29/2024,1.38,49,2.1 L,9.5 L,31.3 L,,Jacob Horne,9/5/2024,1.25,49.3,4.8 L,13.9 L,40.2 L,Jacob Horne,9/12/2024,1.31,Jacob Horne,9/19/2024,1.29,Jacob Horne,9/26/2024,1.34,Jacob Horne,10/3/2024,1.12,Jacob Horne,10/10/2024,1.35,Jacob Horne,10/17/2024,1.31,Jacob Horne,10/31/2024,1.14,Jacob Horne,11/7/2024,1.12,Jacob Horne,11/14/2024,1.39,,,,Jacob Horne,12/4/2024,1.31,Jacob Horne,12/10/2024,1.52,1.30,14.5%,13.8%
Jayden Stanley,8/20/2024,0.85,46.7,7 L,5.7 R,25.8 R,,Jayden Stanley,8/29/2024,0.92,44.6,4.1 L,18.9 R,17.2 R,,Jayden Stanley,9/5/2024,1.07,44.2,1.6 L,10 R,3 L,Jayden Stanley,9/12/2024,1.06,,,,,,,,,,Jayden Stanley,10/10/2024,1,,,,Jayden Stanley,10/31/2024,0.87,Jayden Stanley,11/7/2024,1,Jayden Stanley,11/14/2024,0.93,Jayden Stanley,11/21/2024,0.92,Jayden Stanley,12/4/2024,1.15,Jayden Stanley,12/11/2024,1.1,0.99,10.2%,-4.5%
Jordan Fisher,8/20/2024,0.89,48.6,10.6 L,18.9 L,19 L,,,,,41.9,1.7 L,17.6 R,26.8 L,,,,,,,,,Jordan Fisher,9/12/2024,0.84,Jordan Fisher,9/19/2024,0.86,Jordan Fisher,9/26/2024,0.86,Jordan Fisher,10/3/2024,0.94,Jordan Fisher,10/10/2024,0.89,Jordan Fisher,10/17/2024,0.88,Jordan Fisher,10/31/2024,0.92,Jordan Fisher,11/7/2024,0.96,Jordan Fisher,11/14/2024,0.97,Jordan Fisher,11/21/2024,0.91,Jordan Fisher,12/4/2024,0.94,Jordan Fisher,12/11/2024,0.89,0.90,-1.6%,-5.6%
Josh Gale,8/20/2024,1.05,46.2,3.3 R,26.2 R,9.5 L,,Josh Gale,8/29/2024,0.88,42.3,13.6 R,28.3 R,11.6 L,,Josh Gale,9/5/2024,0.83,41.8,2 R,31 R,34.4 L,Josh Gale,9/12/2024,0.92,Josh Gale,9/19/2024,0.86,Josh Gale,9/26/2024,0.94,Josh Gale,10/3/2024,0.97,Josh Gale,10/10/2024,0.96,Josh Gale,10/17/2024,0.97,Josh Gale,10/31/2024,0.98,Josh Gale,11/7/2024,1.01,Josh Gale,11/14/2024,1.04,Josh Gale,11/21/2024,1.08,Josh Gale,12/4/2024,1.01,Josh Gale,12/11/2024,1.08,0.97,10.0%,6.5%
Kavir Bains,8/20/2024,1.21,43.9,13.2 L,10.1 L,37.3 R,,Kavir Bains,8/29/2024,1.18,41.9,13 L,25.3 L,9.6 L,,Kavir Bains,9/5/2024,1.28,,,,,Kavir Bains,9/12/2024,1.16,Kavir Bains,9/19/2024,1.2,Kavir Bains,9/26/2024,1.19,Kavir Bains,10/3/2024,1.13,Kavir Bains,10/10/2024,1.16,Kavir Bains,10/17/2024,1.28,Kavir Bains,10/31/2024,1.1,Kavir Bains,11/7/2024,1.2,Kavir Bains,11/14/2024,1.18,Kavir Bains,11/21/2024,1.19,Kavir Bains,12/4/2024,1.2,Kavir Bains,12/11/2024,1.21,1.19,1.5%,0.8%
Lamont Shamburger,8/20/2024,1.08,42.7,6.5 R,12.5 R,61.7 R,,Lamont Shamburger,8/29/2024,1,39.5,5.2 R,8.7 R,55.7 R,,Lamont Shamburger,9/5/2024,1.02,42,10.2 L,11.6 L,43.4 L,Lamont Shamburger,9/12/2024,1.1,Lamont Shamburger,9/19/2024,1.22,Lamont Shamburger,9/26/2024,1.12,Lamont Shamburger,10/3/2024,1.15,Lamont Shamburger,10/10/2024,1.08,Lamont Shamburger,10/17/2024,1.13,Lamont Shamburger,10/31/2024,1.02,Lamont Shamburger,11/7/2024,1.12,Lamont Shamburger,11/14/2024,1.16,Lamont Shamburger,11/21/2024,1.24,Lamont Shamburger,12/4/2024,1.12,Lamont Shamburger,12/10/2024,1.02,1.11,-8.4%,-9.8%
Lan Larison,8/20/2024,0.98,49.2,1.8 R,29.2 R,11.8 L,,Lan Larison,8/29/2024,0.9,45.6,1.4 L,29.1 R,16.6 L,,Lan Larison,9/5/2024,0.89,40.2,7.7 R,12.7 R,58.2 R,,,,Lan Larison,9/19/2024,0.86,,,,Lan Larison,10/3/2024,0.73,Lan Larison,10/10/2024,0.89,,,,,,,,,,,,,,,,,,,,,,0.88,#DIV/0!,#DIV/0!
Luka Sarac,8/20/2024,1.02,43.9,11 L,20.3 L,10.6 R,,Luka Sarac,8/29/2024,0.86,35.8,17.2 L,12.8 L,19.9 L,,Luka Sarac,9/5/2024,0.88,44.9,5.6 L,18 R,31.7 L,Luka Sarac,9/12/2024,1,Luka Sarac,9/19/2024,1.03,Luka Sarac,9/26/2024,0.99,Luka Sarac,10/3/2024,0.95,Luka Sarac,10/10/2024,1,Luka Sarac,10/17/2024,1.01,Luka Sarac,10/31/2024,0.97,Luka Sarac,11/7/2024,1.03,Luka Sarac,11/14/2024,1.07,Luka Sarac,11/21/2024,0.97,Luka Sarac,12/4/2024,0.99,Luka Sarac,12/11/2024,1.07,0.99,7.5%,7.5%
Markeece Alexander,8/20/2024,0.88,47.6,14.6 R,23.8 R,28.7 R,,Markeece Alexander,8/29/2024,0.99,39.8,9.5 R,34 R,22.5 L,,,,,42.5,15.7 L,33.8 L,22.5 L,,,,,,,,,,Markeece Alexander,10/3/2024,0.99,Markeece Alexander,10/10/2024,1.07,Markeece Alexander,10/17/2024,0.94,Markeece Alexander,10/31/2024,0.97,Markeece Alexander,11/7/2024,0.94,Markeece Alexander,11/14/2024,1.14,Markeece Alexander,11/21/2024,0.98,Markeece Alexander,12/4/2024,1.2,Markeece Alexander,12/10/2024,1.11,1.02,8.2%,-8.1%
Matteo Perez,8/20/2024,0.82,41.1,3.8 R,3.7 L,24.8 L,,Matteo Perez,8/29/2024,0.84,42.3,4.1 R,14.5 R,20.8 L,,Matteo Perez,9/5/2024,0.92,43.4,6.8 R,25.8 R,19.8 R,Matteo Perez,9/12/2024,0.95,Matteo Perez,9/19/2024,0.81,Matteo Perez,9/26/2024,0.61,Matteo Perez,10/3/2024,0.74,Matteo Perez,10/10/2024,0.78,Matteo Perez,10/17/2024,0.73,Matteo Perez,10/31/2024,0.92,Matteo Perez,11/7/2024,1.04,Matteo Perez,11/14/2024,0.93,Matteo Perez,11/21/2024,1.08,Matteo Perez,12/4/2024,0.99,Matteo Perez,12/11/2024,1.15,0.89,22.8%,13.9%
Miles Hastings,8/20/2024,0.92,36,6.2 R,10.8 R,25.4 R,,Miles Hastings,8/29/2024,0.85,33.4,4.9 R,8.2 R,19.3 R,,Miles Hastings,9/5/2024,0.86,34,10.9 R,9.4 R,11.1 R,Miles Hastings,9/12/2024,0.92,Miles Hastings,9/19/2024,0.75,Miles Hastings,9/26/2024,0.57,Miles Hastings,10/3/2024,0.75,Miles Hastings,10/10/2024,0.81,Miles Hastings,10/17/2024,0.95,Miles Hastings,10/31/2024,0.82,Miles Hastings,11/7/2024,0.8,Miles Hastings,11/14/2024,0.81,Miles Hastings,11/21/2024,0.75,Miles Hastings,12/4/2024,0.88,Miles Hastings,12/11/2024,0.79,0.82,-3.2%,-11.4%
,,,,,,,,Mitch Dixon,8/29/2024,0.73,44,9 L,7.9 R,27.4 R,,Mitch Dixon,9/5/2024,0.6,33.8,16.5 R,8.8 R,39.3 L,Mitch Dixon,9/12/2024,0.72,Mitch Dixon,9/19/2024,0.86,Mitch Dixon,9/26/2024,0.73,Mitch Dixon,10/3/2024,0.72,Mitch Dixon,10/10/2024,0.8,Mitch Dixon,10/17/2024,0.74,Mitch Dixon,10/31/2024,0.8,,,,Mitch Dixon,11/14/2024,0.76,Mitch Dixon,11/21/2024,0.8,Mitch Dixon,12/4/2024,0.81,Mitch Dixon,12/11/2024,0.85,0.76,10.2%,4.7%
Porter Connors,8/20/2024,0.83,45.7,9.9 L,8.4 L,15.7 R,,Porter Connors,8/29/2024,0.81,,,,,,Porter Connors,9/5/2024,1.18,43.6,8.4 L,18.7 L,44.1 R,Porter Connors,9/12/2024,1.09,Porter Connors,9/19/2024,0.94,Porter Connors,9/26/2024,0.89,Porter Connors,10/3/2024,0.89,Porter Connors,10/10/2024,0.81,Porter Connors,10/17/2024,0.96,Porter Connors,10/31/2024,1.11,Porter Connors,11/7/2024,1.04,Porter Connors,11/14/2024,1.06,Porter Connors,11/21/2024,1.15,Porter Connors,12/4/2024,1.15,Porter Connors,12/11/2024,1.02,1.00,2.4%,-12.7%
Princeton Toki,8/20/2024,0.5,52,7.4 R,11.6 R,29.5 R,,Princeton Toki,8/29/2024,0.52,24.5,4.7 R,4.8 L,14.3 L,,Princeton Toki,9/5/2024,0.49,24.5,7 R,7.4 L,21.8 L,Princeton Toki,9/12/2024,0.55,Princeton Toki,9/19/2024,0.53,Princeton Toki,9/26/2024,0.5,Princeton Toki,10/3/2024,0.54,Princeton Toki,10/10/2024,0.5,Princeton Toki,10/17/2024,0.48,Princeton Toki,10/31/2024,0.43,Princeton Toki,11/7/2024,0.45,Princeton Toki,11/14/2024,0.56,,,,Princeton Toki,12/4/2024,0.51,Princeton Toki,12/11/2024,0.55,0.51,7.7%,7.3%
Rex Connors,8/20/2024,0.95,42.2,16.2 R,38.6 R,17.6 R,,Rex Connors,8/29/2024,1.09,47.2,9.9 R,17.2 R,15 L,,,,,,,,,,,,Rex Connors,9/19/2024,1.04,Rex Connors,9/26/2024,1.02,Rex Connors,10/3/2024,1.05,Rex Connors,10/10/2024,1.08,Rex Connors,10/17/2024,1.07,Rex Connors,10/31/2024,1.22,Rex Connors,11/7/2024,1.06,Rex Connors,11/14/2024,1.17,Rex Connors,11/21/2024,1.14,Rex Connors,12/4/2024,1.25,Rex Connors,12/11/2024,1.21,1.10,8.8%,-3.3%
Sam Gbatu,8/20/2024,1.1,47,4.4 R,9.1 R,21.3 R,,Sam Gbatu,8/29/2024,1.12,44.7,12.4 R,26.9 R,39.6 R,,Sam Gbatu,9/5/2024,1.2,43.1,14.4 R,39.4 R,31.7 R,Sam Gbatu,9/12/2024,1.2,Sam Gbatu,9/19/2024,0.83,Sam Gbatu,9/26/2024,1.13,Sam Gbatu,10/3/2024,1.03,Sam Gbatu,10/10/2024,1.05,Sam Gbatu,10/17/2024,1.04,Sam Gbatu,10/31/2024,1.21,Sam Gbatu,11/7/2024,1.19,Sam Gbatu,11/14/2024,1.16,Sam Gbatu,11/21/2024,1.04,Sam Gbatu,12/4/2024,1.09,Sam Gbatu,12/11/2024,1.08,1.10,-1.7%,-0.9%
Sam Goligoski,8/20/2024,0.96,48.8,9.1 L,24.2 L,37.9 L,,Sam Goligoski,8/29/2024,0.96,49.9,4.4 R,6.1 R,45.1 R,,Sam Goligoski,9/5/2024,0.87,47.8,6.7 R,2.8 R,22.3 R,Sam Goligoski,9/12/2024,1.02,Sam Goligoski,9/19/2024,0.77,Sam Goligoski,9/26/2024,0.94,Sam Goligoski,10/3/2024,1.09,Sam Goligoski,10/10/2024,0.88,,,,,,,Sam Goligoski,11/7/2024,0.69,Sam Goligoski,11/14/2024,0.89,Sam Goligoski,11/21/2024,0.8,Sam Goligoski,12/4/2024,1.03,Sam Goligoski,12/11/2024,0.9,0.91,-0.9%,-14.4%
Semaj Verner,8/20/2024,1,46.5,3 R,13.4 R,18 R,,Semaj Verner,8/29/2024,0.99,43.4,6.3 L,32.5 L,28.8 L,,Semaj Verner,9/5/2024,1.03,46.2,6.7 L,16.8 L,26.6 L,Semaj Verner,9/12/2024,1.04,Semaj Verner,9/19/2024,1.04,Semaj Verner,9/26/2024,0.94,Semaj Verner,10/3/2024,1.07,Semaj Verner,10/10/2024,0.9,Semaj Verner,10/17/2024,1.06,Semaj Verner,10/31/2024,1.11,Semaj Verner,11/7/2024,1.17,Semaj Verner,11/14/2024,1.34,Semaj Verner,11/21/2024,1.12,Semaj Verner,12/4/2024,1.24,Semaj Verner,12/11/2024,1.19,1.08,9.0%,-4.2%
Stacy Dobbins,8/20/2024,0.74,51.1,1.2 R,18.9 L,32.3 L,,Stacy Dobbins,8/29/2024,0.75,35.5,8.2 L,24.1 L,35.6 L,,Stacy Dobbins,9/5/2024,0.82,34.9,9.8 L,18.6 L,22.8 L,Stacy Dobbins,9/12/2024,0.94,Stacy Dobbins,9/19/2024,0.78,Stacy Dobbins,9/26/2024,1.01,Stacy Dobbins,10/3/2024,1.05,Stacy Dobbins,10/10/2024,1.08,Stacy Dobbins,10/17/2024,1.06,Stacy Dobbins,10/31/2024,1.24,Stacy Dobbins,11/7/2024,1.16,Stacy Dobbins,11/14/2024,1.12,Stacy Dobbins,11/21/2024,0.93,Stacy Dobbins,12/4/2024,0.85,Stacy Dobbins,12/11/2024,1.24,0.98,20.6%,31.5%
,,,,,,,,,,,40.7,2.1 R,4.7 R,16.5 R,,Thomas Mirabella,9/5/2024,0.54,31.5,13.4 L,25 L,27.7 R,Thomas Mirabella,9/12/2024,0.53,Thomas Mirabella,9/19/2024,0.58,Thomas Mirabella,9/26/2024,0.57,Thomas Mirabella,10/3/2024,0.51,Thomas Mirabella,10/10/2024,0.6,Thomas Mirabella,10/17/2024,0.56,Thomas Mirabella,10/31/2024,0.63,Thomas Mirabella,11/7/2024,0.55,Thomas Mirabella,11/14/2024,0.68,Thomas Mirabella,11/21/2024,0.64,Thomas Mirabella,12/4/2024,0.67,Thomas Mirabella,12/11/2024,0.59,0.59,0.3%,-13.6%
,,,43.4,18.9 R,4.3 L,20.3 R,,Trent Tompkins,8/29/2024,0.93,,,,,,Trent Tompkins,9/5/2024,0.92,42.4,4.5 L,14.1 R,36.9 L,Trent Tompkins,9/12/2024,1,Trent Tompkins,9/19/2024,0.95,Trent Tompkins,9/26/2024,0.99,Trent Tompkins,10/3/2024,1.02,Trent Tompkins,10/10/2024,0.94,Trent Tompkins,10/17/2024,0.9,Trent Tompkins,10/31/2024,0.99,Trent Tompkins,11/7/2024,1.11,Trent Tompkins,11/14/2024,1.16,Trent Tompkins,11/21/2024,0.91,Trent Tompkins,12/4/2024,0.98,Trent Tompkins,12/11/2024,1.03,0.99,4.1%,4.9%
Tyson McWilliams,8/20/2024,0.83,47,3.1 L,21 R,23 L,,Tyson McWilliams,8/29/2024,0.85,44.8,0.6 R,15.3 L,9 L,,Tyson McWilliams,9/5/2024,0.83,44.7,2.4 R,13.6 L,9.3 L,Tyson McWilliams,9/12/2024,0.9,Tyson McWilliams,9/19/2024,0.81,Tyson McWilliams,9/26/2024,0.88,Tyson McWilliams,10/3/2024,0.8,,,,Tyson McWilliams,10/17/2024,0.81,Tyson McWilliams,10/31/2024,0.84,Tyson McWilliams,11/7/2024,0.86,Tyson McWilliams,11/14/2024,0.89,Tyson McWilliams,11/21/2024,0.9,Tyson McWilliams,12/4/2024,0.85,Tyson McWilliams,12/11/2024,0.89,0.85,4.2%,4.5%
